Entregable,Estado,Milestone,Opción,Periodo (fechas),Responsable,Semana / periodo
Confirmación opción A o B por parte del cliente,Hecho,M0 · Kickoff y validación estratégica,A,1 de junio de 2026,Cliente,Semana 0
Primer pago recibido (€500),Hecho,M0 · Kickoff y validación estratégica,Ambas,1 de junio de 2026,Cliente,Semana 0
Sign-off propuesta económica + condiciones,Hecho,M0 · Kickoff y validación estratégica,Ambas,1 de junio de 2026,Ambos,Semana 0
Doc estrategia GEO + Agentic validado,Hecho,M0 · Kickoff y validación estratégica,Ambas,2 de junio de 2026,Random Lab,Semana 0
Nombre de dominio confirmado quediriamimadre.com,Hecho,M0 · Kickoff y validación estratégica,Ambas,2 de junio de 2026,Cliente,Semana 0
Historia de las fundadoras y materiales recibidos,Pendiente,M0 · Kickoff y validación estratégica,Ambas,2 de junio de 2026 → 12 de junio de 2026,Cliente,Semana 0
Fotografías de producto entregadas,Pendiente,M0 · Kickoff y validación estratégica,Ambas,2 de junio de 2026 → 12 de junio de 2026,Cliente,Semana 0
Listado de productos iniciales (mínimo 10 SKUs),Pendiente,M0 · Kickoff y validación estratégica,Ambas,2 de junio de 2026 → 5 de junio de 2026,Cliente,Semana 0
Cuenta Shopify activa + plan Basic contratado,En curso,M1 · Setup técnico y entorno,A,2 de junio de 2026 → 5 de junio de 2026,Ambos,Semana 1
Dominio conectado + SSL activo,En curso,M1 · Setup técnico y entorno,A+B,2 de junio de 2026 → 5 de junio de 2026,Ambos,Semana 1
Shopify Payments configurado y verificado,Pendiente,M1 · Setup técnico y entorno,A,2 de junio de 2026 → 5 de junio de 2026,Cliente,Semana 1
Email corporativo configurado (mailto:signal@qdm.es),Pendiente,M1 · Setup técnico y entorno,A+B,2 de junio de 2026 → 5 de junio de 2026,Ambos,Semana 1
llms.txt inicial publicado en /llms.txt,En curso,M1 · Setup técnico y entorno,A+B,2 de junio de 2026 → 5 de junio de 2026,Random Lab,Semana 1
robots.txt con permisos bots IA correctos,Pendiente,M1 · Setup técnico y entorno,A+B,2 de junio de 2026 → 5 de junio de 2026,Random Lab,Semana 1
Wireframes de colección aprobados,En curso,M2 · Diseño aprobado por cliente,Ambas,2 de junio de 2026 → 12 de junio de 2026,Cliente,Semana 1–2
Wireframes de ficha de producto aprobados,Hecho,M2 · Diseño aprobado por cliente,Ambas,2 de junio de 2026 → 12 de junio de 2026,Cliente,Semana 1–2
